computer, size, run, open, setup, gpu, save, total
wc580dfp, 17, 3, 2.46458, 3.67397, 2.48989, 24.2034, 30.3419
wc580dfp, 19, 1, 2.50963, 4.28495, 3.09406, 24.784, 31.5786
wc580dfp, 19, 2, 2.46976, 4.26869, 3.09469, 24.6005, 31.339
wc580dfp, 19, 3, 2.51434, 4.26489, 3.09434, 24.9321, 31.7113
wc580dfp, 21, 1, 2.51409, 4.94541, 3.76469, 24.7739, 32.2334
wc580dfp, 21, 2, 2.41463, 4.93297, 3.76493, 25.0707, 32.4183
wc580dfp, 21, 3, 2.50354, 4.95125, 3.76588, 24.4744, 31.9292
scsfp, 3, 1, 2.66578, 3.62127, 0.138213, 33.1875, 39.4746
scsfp, 3, 2, 2.67634, 3.58265, 0.138201, 33.2346, 39.4936
scsfp, 3, 3, 2.6652, 3.79359, 0.138151, 33.3161, 39.7749
scsfp, 5, 1, 2.64198, 3.85728, 0.342758, 36.0925, 42.5917
scsfp, 5, 2, 2.60726, 3.85621, 0.342918, 36.0757, 42.5392
scsfp, 5, 3, 2.55964, 3.76709, 0.342891, 36.0777, 42.4044
scsfp, 7, 1, 2.31329, 4.11565, 0.643537, 38.8078, 45.2367
scsfp, 7, 2, 2.61534, 4.15322, 0.643299, 38.7922, 45.5608
scsfp, 7, 3, 2.63383, 4.14309, 0.643795, 38.9261, 45.703
scsfp, 9, 1, 2.62924, 4.79146, 1.04533, 39.0786, 46.4993
scsfp, 9, 2, 2.67118, 4.55702, 1.04633, 38.7742, 46.0024
scsfp, 9, 3, 2.65436, 4.55626, 1.04582, 38.7371, 45.9478
scsfp, 11, 1, 2.65556, 5.07399, 1.54345, 37.4305, 45.16
scsfp, 11, 2, 2.64642, 5.07227, 1.54355, 37.3605, 45.0792
scsfp, 11, 3, 2.6274, 5.0511, 1.54378, 37.6413, 45.3198
scsfp, 13, 1, 2.61051, 5.70858, 2.14062, 38.5311, 46.8502
scsfp, 13, 2, 2.62942, 6.5466, 2.14042, 38.7591, 47.9351
scsfp, 13, 3, 2.4887, 5.64595, 2.14094, 38.564, 46.6987
scsfp, 15, 1, 2.62064, 6.54408, 2.83541, 40.5147, 49.6794
scsfp, 15, 2, 2.55098, 6.17045, 2.8348, 40.9528, 49.6742
scsfp, 15, 3, 2.62451, 6.34379, 2.83621, 40.4333, 49.4016
scsfp, 17, 1, 2.5825, 7.09846, 3.62741, 40.8197, 50.5007
scsfp, 17, 2, 2.64576, 7.13141, 3.62766, 44.3647, 54.1419
scsfp, 17, 3, 2.60126, 7.13287, 3.62635, 40.6547, 50.3888
scsfp, 19, 1, 2.57868, 8.02194, 4.51817, 40.8891, 51.4897
scsfp, 19, 2, 2.6535, 7.98616, 4.51845, 41.0639, 51.7036
scsfp, 19, 3, 2.62458, 8.00544, 4.52059, 40.9526, 51.5826
scsfp, 21, 1, 2.64937, 9.00931, 5.50667, 41.1598, 52.8185
scsfp, 21, 2, 2.30675, 9.60251, 5.50431, 41.4308, 53.3401
scsfp, 21, 3, 2.62836, 9.01371, 5.50724, 41.3441, 52.9861
scdfp, 3, 1, 2.88927, 4.05099, 0.150103, 32.8902, 39.8305
scdfp, 3, 2, 2.78417, 3.80174, 0.150012, 33.4713, 40.0572
scdfp, 3, 3, 2.73338, 3.91588, 0.15001, 34.1153, 40.7646
scdfp, 5, 1, 2.72103, 4.02509, 0.375381, 36.0895, 42.8357
scdfp, 5, 2, 2.69555, 4.02137, 0.375344, 36.0736, 42.7905
scdfp, 5, 3, 2.74592, 4.01937, 0.375379, 36.0352, 42.8005
scdfp, 7, 1, 2.78939, 4.35014, 0.715438, 38.821, 45.9606
scdfp, 7, 2, 2.7613, 4.3729, 0.715471, 38.8109, 45.9451
scdfp, 7, 3, 2.76691, 4.35436, 0.715471, 38.8422, 45.9635
scdfp, 9, 1, 2.78146, 4.85877, 1.1624, 38.7521, 46.3923
